Station ID,Station Name,Data Source,Latitude (deg),Longitude (deg),Observation ID,Observation Date,Day of Year (day),Month (month),City,State/Province,County,Number,Amphibian Common Names,Life Stage,Malformation Type,Side of Body,Malformation Location,Malformation Description,Station Address,Photos,Media,Documents
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746625,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
1755148,Dismal Swamp National Wildlife Refuge,Malformation Nation Observations,36.627500,-76.480967,8746619,1997-05-24,May-24,May,Surfolk,Virginia,Suffolk City,84,Southern Leopard Frog,Don't know,,,NA,,, , , 
1755148,Dismal Swamp National Wildlife Refuge,Malformation Nation Observations,36.627500,-76.480967,8746618,1997-05-24,May-24,May,Surfolk,Virginia,Suffolk City,3,Green Frog (Subspecies - Northern),Don't know,,,NA,,, , , 
1755149,District of Columbia 16th St and Holly St.,Malformation Nation Observations,38.981703,-77.039525,8746616,2001-06-27,Jun-27,June,Washington DC,District of Columbia,District of Columbia,19,Northern Dusky Salamander,Don't know,,,NA,,, , , 
1755149,District of Columbia 16th St and Holly St.,Malformation Nation Observations,38.981703,-77.039525,8746617,2001-06-27,Jun-27,June,Washington DC,District of Columbia,District of Columbia,,Northern Dusky Salamander,Adult,Missing or abnormal eyes,Left,NA,"Anophthalmia, left eye",, , , 
1755150,"Dog Pond, Jacksonville, OR",Malformation Nation Observations,42.324157,-122.984172,8746614,1999-06-27,Jun-27,June,Jacksonville,Oregon,Jackson,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal mandible, MFL, MDH, extra hind digit(s), MHL",, , , 
1755150,"Dog Pond, Jacksonville, OR",Malformation Nation Observations,42.324157,-122.984172,8746615,1999-06-27,Jun-27,June,Jacksonville,Oregon,Jackson,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal mandible, MFL, MDH, extra hind digit(s), MHL",, , , 
1755150,"Dog Pond, Jacksonville, OR",Malformation Nation Observations,42.324157,-122.984172,8746613,1999-06-27,Jun-27,June,Jacksonville,Oregon,Jackson,170,Pacific Treefrog Complex,Don't know,,,NA,,, , , 
1755151,"Dousman, WI intersection of Co Rd Z and Gramling Ln",Malformation Nation Observations,43.020613,-88.495289,8746611,1998-07-14,Jul-14,July,Dousman,Wisconsin,Waukesha,16,Green Frog (Subspecies - Northern),Don't know,,,NA,,, , , 
1755151,"Dousman, WI intersection of Co Rd Z and Gramling Ln",Malformation Nation Observations,43.020613,-88.495289,8746610,1998-07-14,Jul-14,July,Dousman,Wisconsin,Waukesha,2,Green Frog (Subspecies - Northern),Don't know,,,NA,,, , , 
1755151,"Dousman, WI intersection of Co Rd Z and Gramling Ln",Malformation Nation Observations,43.020613,-88.495289,8746609,1998-07-14,Jul-14,July,Dousman,Wisconsin,Waukesha,25,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755151,"Dousman, WI intersection of Co Rd Z and Gramling Ln",Malformation Nation Observations,43.020613,-88.495289,8746612,1998-07-14,Jul-14,July,Dousman,Wisconsin,Waukesha,1,Gray Treefrog,Don't know,,,NA,,, , , 
1755152,"Dover, DE, Longacre Dr",Malformation Nation Observations,39.083447,-75.549646,8746608,1997-06-29,Jun-29,June,Dover,Delaware,Kent,100,Green Frog (Subspecies - Northern),Don't know,,,NA,,, , , 
1755153,"Drews Creek,OR Summer Lake",Malformation Nation Observations,42.833207,-120.501359,8746607,1994-12-31,Dec-31,December,Drews Creek,Oregon,Lake,,Western Toad (Subspecies - Boreal Toad),Adult,Abnormal bone formation,,Leg,hind limb fused to body,, , , 
1755153,"Drews Creek,OR Summer Lake",Malformation Nation Observations,42.833207,-120.501359,8746606,1994-12-31,Dec-31,December,Drews Creek,Oregon,Lake,,Western Toad (Subspecies - Boreal Toad),Don't know,,,NA,,, , , 
